,loss,entropy
0,4.702830791473389,3.6948068141937256
1,4.659892559051514,3.7013020515441895
2,4.501436233520508,3.494621992111206
3,4.53276252746582,3.5538015365600586
4,4.470291614532471,3.5201425552368164
5,4.474632263183594,3.4250295162200928
6,4.417683124542236,3.5273494720458984
7,4.360345363616943,3.321261405944824
8,4.3588032722473145,3.3685946464538574
9,4.409518718719482,3.418280839920044
10,4.366464614868164,3.333343029022217
11,4.342679023742676,3.403324604034424
12,4.34809684753418,3.3280129432678223
13,4.365057468414307,3.3835697174072266
14,4.26540994644165,3.256373167037964
15,4.327819347381592,3.3419785499572754
16,4.291363716125488,3.2980098724365234
17,4.318264961242676,3.391028881072998
18,4.263191223144531,3.3026652336120605
19,4.193626403808594,3.2051401138305664
20,4.289490699768066,3.3512179851531982
21,4.287874698638916,3.268744945526123
22,4.260681629180908,3.2809693813323975
23,4.246036529541016,3.280430316925049
24,4.238511562347412,3.266613483428955
25,4.271113395690918,3.1900386810302734
26,4.25877571105957,3.3180036544799805
27,4.211696624755859,3.233626127243042
28,4.266317367553711,3.3445076942443848
29,4.2918548583984375,3.2509799003601074
30,4.236888885498047,3.2733054161071777
31,4.302403450012207,3.318087577819824
32,4.288966655731201,3.2805073261260986
33,4.209636688232422,3.2411999702453613
34,4.212032794952393,3.2094335556030273
35,4.295590400695801,3.3246536254882812
36,4.309774398803711,3.287925958633423
37,4.294435024261475,3.292772054672241
38,4.203423500061035,3.2419025897979736
39,4.249953746795654,3.261838436126709
40,4.250454425811768,3.307250499725342
41,4.204352378845215,3.2063841819763184
42,4.299891471862793,3.349583864212036
43,4.359932899475098,3.3272223472595215
44,4.259737491607666,3.3171591758728027
45,4.358327388763428,3.352804183959961
